,품종,당도,산도,바디,타닌
0,멘시아 (Mencia) ,1,0,4,0
1,템프라니요 (Tempranillo) ,1,0,4,0
2,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,5
3,모스카토  (Moscato ) ,4,2,2,1
4,진판델 (Zinfandel) ,3,2,3,1
5,진판델 (Zinfandel) ,3,2,2,1
6,진판델 (Zinfandel) ,2,3,3,3
7,샤르도네 (Chardonnay) ,2,4,3,1
8,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
9,샤르도네 (Chardonnay) ,1,3,3,1
10,말벡 (Malbec) ,1,3,4,4
11,메를로 (Merlot) ,1,3,3,3
12,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,5
13,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
14,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,5,0
15,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
16,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
17,가메이 (Gamay) ,2,3,3,2
18,가메이 (Gamay) ,2,0,3,0
19,샤르도네 (Chardonnay) ,1,3,3,1
20,피노 누아 (Pinot Noir) ,1,3,3,2
21,피노 누아 (Pinot Noir) ,1,3,3,3
22,피노 누아 (Pinot Noir) ,1,3,3,2
23,피노 누아 (Pinot Noir) ,1,3,3,3
24,피노 누아 (Pinot Noir) ,1,0,4,0
25,샤르도네 (Chardonnay) ,1,0,4,0
26,샤르도네 (Chardonnay) ,1,0,0,0
27,샤르도네 (Chardonnay) ,1,3,3,1
28,피노 누아 (Pinot Noir) ,1,3,3,2
29,샤르도네 (Chardonnay) ,1,3,3,1
30,피노 누아 (Pinot Noir) ,1,3,4,3
31,피노 누아 (Pinot Noir) ,1,3,4,3
32,피노 누아 (Pinot Noir) ,1,0,4,0
33,피노 누아 (Pinot Noir) ,1,0,3,0
34,피노 누아 (Pinot Noir) ,1,3,4,3
35,피노 누아 (Pinot Noir) ,1,4,4,4
36,피노 누아 (Pinot Noir) ,1,3,3,2
37,피노 누아 (Pinot Noir) ,1,3,4,3
38,샤르도네 (Chardonnay) ,1,4,3,1
39,바르베라 (Barbera) ,1,0,4,0
40,돌체토 (Dolcetto) ,1,0,4,0
41,네비올로 (Nebbiolo) ,1,4,4,4
42,네비올로 (Nebbiolo) ,1,4,3,4
43,아르네이스 (Arneis) ,1,3,3,1
44,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,5
45,샤르도네 (Chardonnay) ,1,3,4,1
46,소비뇽 블랑 (Sauvignon Blanc) ,1,5,4,1
47,산지오베제 (Sangiovese) ,1,0,3,0
48,산지오베제 (Sangiovese) ,1,0,3,0
49,베르나키아 (Vernaccia) ,1,3,3,1
50,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
51,샤르도네 (Chardonnay) ,1,0,4,0
52,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
53,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,5
54,샤르도네 (Chardonnay) ,1,3,3,1
55,메를로 (Merlot) ,1,0,4,0
56,메를로 (Merlot) ,1,0,4,0
57,메를로 (Merlot) ,1,0,0,0
58,메를로 (Merlot) ,1,2,4,3
59,샤르도네 (Chardonnay) ,1,3,3,1
60,샤르도네 (Chardonnay) ,1,3,3,1
61,샤르도네 (Chardonnay) ,1,3,4,1
62,카베르네 소비뇽 (Cabernet Sauvignon) ,1,4,4,4
63,샤르도네 (Chardonnay) ,1,4,4,1
64,샤르도네 (Chardonnay) ,2,0,3,0
65,리슬링 (Riesling) ,2,5,3,1
