리뷰번호,키워드1,키워드2,키워드3,키워드4,키워드5,키워드6,키워드7,키워드8,키워드9,키워드10,키워드11,키워드12,키워드13,키워드14,키워드15,키워드16,키워드17,단어목록,와인번호
1,0,0,3,0,0,4,1,1,0,0,0,3,0,0,0,0,0,밸런스 3; 바닐라 2; 바디 2; 스파이시 1; 오크 1; 카라멜 1; 탄닌 1; 과일향 1; 블랙베리 1; 체리 1; 매화 1; 카시스 1; 후추 1; 유칼립투스 1; 구조 1,1
2,1,0,0,0,3,3,1,0,2,0,0,1,1,2,0,0,0,드라이 2; 블랙베리 1; 블랙커런트 1; 과일 1; 우디 1; 매혹 1; 고급 1; 산미 1; 탄닌 1; 구조감 1; 오크 1; 마지막 1; 피니시 1; 감미로움 1; 고기 1; 육류 1,2
3,0,0,1,0,2,8,3,1,0,0,1,2,1,0,0,0,0,탄닌 3; 풍미 2; 블랙베리 2; 블랙커런트 2; 클래식 1; 카시스 1; 스모크 1; 산미 1; 과일 1; 스파이시 1; 크리미 1; 오크 1; 매혹 1; 질감 1; 구조감 1; 조화 1; 야생 1; 딸기 1; 바닐라  1; 흙내음 1; 라벤더 1; 꽃내음 1; 아로마 1,3
4,0,0,2,0,1,0,1,0,1,0,0,2,1,1,1,0,0,바디 2; 안심 1; 드라이 1; 산미 1; 커피 1; 코코아 1; 베리향 1; 향신료 1; 초콜릿 1; 매혹 1; 대담 1; 탄닌 1; 마무리 1; 오크 1; 균형 1; 밸런스 1,4
5,1,0,2,0,2,3,2,0,2,0,0,3,1,0,2,0,0,초콜릿 2; 탄닌 2; 드라이 2; 바디 2; 베리향 1; 카시스 1; 블루베리 1; 텍스쳐 1; 여운 1; 분위기 1; 밸런스 1; 숙성 1; 향기 1; 매혹 1; 산미 1; 조화 1,5
6,1,0,1,1,3,6,1,1,1,0,0,2,0,1,0,0,0,블랙커런트 1; 자두 1; 스파이시 1; 아로마 1; 블랙베리 1; 블루베리 1; 바이올렛 1; 균형 1; 구조감 1; 탄닌 1; 피니시 1; 가성비 1; 바디 1; 드라이 1; 육류 1; 파티 1; 여운 1; 과일향 1; 풍미 1,6
7,0,0,1,0,3,9,3,0,0,0,0,4,3,0,0,0,0,탄닌 3; 체리 2; 산도 2; 바디 2; 피니시 2; 과실 2; 블랙베리 1; 카시스 1; 과일향 1; 오크 1; 바닐라 1; 에스프레소 1; 담뱃잎 1; 가죽 1; 아로마 1; 질감 1; 피니쉬 1; 도수 1; 라즈베리 1; 산미 1; 구조감 1; 밸런스 1,7
8,0,0,2,0,3,3,2,1,3,0,0,4,3,0,0,0,0,여운 3; 산미 3; 바디 3; 조화 2; 탄닌 2; 드라이 2; 선명 1; 과일향 1; 나무 1; 꽃향기 1; 스파이시 1; 표현 1; 구조 1; 과실 1,8
9,0,0,2,0,0,6,1,2,1,0,1,5,0,0,0,0,0,과일 2; 조화 2; 과실 2; 자두 1; 아로마 1; 후추 1; 호두 1; 바닐라 1; 바디 1; 구조 1; 드라이 1; 허브 1; 민트 1; 탄닌 1; 구조감 1; 미네랄 1; 무게 1; 텍스쳐 1; 질감 1; 베리향 1,9
10,0,0,2,0,1,3,1,0,1,0,0,3,2,1,0,0,0,산도 1; 숙성 1; 석류 1; 바닐라 1; 체리 1; 라즈베리 1; 감초 1; 조화 1; 텍스처 1; 바디 1; 산미 1; 탄닌 1; 구조감 1; 드라이 1; 밸런스 1; 육류 1,10
