품명,가격,카테고리,생산지,품종,당도,산도,바디,타닌
"알바로 팔라시오스, 페탈로스",가격정보없음,레드,스페인,멘시아 (Mencia) ,1,0,4,0
알바로 팔라시오스 라 벤디미아,가격정보없음,레드,스페인,템프라니요 (Tempranillo) ,1,0,4,0
"바치오 디비노, 잰즌 카버네 소비뇽 토 칼른 빈야드",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,5,5
"벨싯, 모스카토 다스티","53,000원",화이트,이탈리아,모스카토  (Moscato ) ,4,2,2,1
"베린저, 스파클링 화이트 진판델",가격정보없음,스파클링,미국,진판델 (Zinfandel) ,3,2,3,1
"베린저, 화이트 진판델",가격정보없음,로제,미국,진판델 (Zinfandel) ,3,2,2,1
"베린저, 진판델",가격정보없음,레드,미국,진판델 (Zinfandel) ,2,3,3,3
"블랙 픽, 샤도네이",가격정보없음,화이트,루마니아,샤르도네 (Chardonnay) ,2,4,3,1
"보데가 와이너트, 카버네 소비뇽",가격정보없음,레드,아르헨티나,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,4
"보데가 와이너트, 샤도네",가격정보없음,화이트,아르헨티나,샤르도네 (Chardonnay) ,1,3,3,1
"보데가 와이너트, 말벡",가격정보없음,레드,아르헨티나,말벡 (Malbec) ,1,3,4,4
"보데가 와이너트, 멀롯",가격정보없음,레드,아르헨티나,메를로 (Merlot) ,1,3,3,3
"본드, 멜버리",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,3,4,5
"본드, 멜버리",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
"본드, 세인트 이든","500,000원",레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,5,0
"본드, 세인트 이든",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,0,0
"본드, 베씨나",가격정보없음,레드,미국,카베르네 소비뇽 (Cabernet Sauvignon) ,1,0,4,0
"부샤르 뻬레 에 피스, 보졸레 빌라쥐",가격정보없음,레드,프랑스,가메이 (Gamay) ,2,3,3,2
"부샤르 뻬레 에 피스, 보졸레 빌라쥐 375ml",가격정보없음,레드,프랑스,가메이 (Gamay) ,2,0,3,0
"부샤르 뻬레 에 피스, 부르고뉴 샤르도네","48,000원",화이트,프랑스,샤르도네 (Chardonnay) ,1,3,3,1
"부샤르 뻬레 에 피스, 부르고뉴 피노 누아","48,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,3,3,2
"부샤르 뻬레 에 피스, 메르퀴레",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,3,3,3
"부샤르 뻬레 에 피스, 오쎄 뒤레스 프르미에 크뤼 레 뒤레스","95,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,3,3,2
"부샤르 뻬레 에 피스, 본 뒤 샤또 프르미에 크뤼","120,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,3,3,3
"부샤르 뻬레 에 피스, 본 뒤 샤또 1er 크뤼",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,0,4,0
"부샤르 뻬레 에 피스, 슈발리에 몽라쉐 그랑 크뤼","700,000원",화이트,프랑스,샤르도네 (Chardonnay) ,1,0,4,0
"부샤르 뻬레 에 피스, 꼬르통 샤를마뉴 그랑 크뤼",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,0,0,0
"부샤르 뻬레 에 피스, 뫼르소",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,3,3,1
"부샤르 뻬레 에 피스, 몽텔리 프르미에 크뤼 '레 뒤레스'","103,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,3,3,2
"부샤르 뻬레 에 피스, 퓔리니 몽라쉐",가격정보없음,화이트,프랑스,샤르도네 (Chardonnay) ,1,3,3,1
"부샤르 뻬레 에 피스, 비뉴 드 랑팡 제쥐 본","330,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,3,4,3
"부샤르 뻬레 에 피스, 끌로 드 부조 그랑 크뤼","510,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,3,4,3
"부샤르 뻬레 에 피스, 끌로 드 부조 그랑 크뤼","490,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,0,4,0
"부샤르 뻬레 에 피스, 꼬뜨 드 뉘 빌라쥐",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,0,3,0
"부샤르 뻬레 에 피스, 쥬브레 샹베르땅","135,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,3,4,3
"부샤르 뻬레 에 피스, 라 로마네 그랑 크뤼",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,4,4,4
"부샤르 뻬레 에 피스, 마르사네",가격정보없음,레드,프랑스,피노 누아 (Pinot Noir) ,1,3,3,2
"부샤르 뻬레 에 피스, 본 로마네","150,000원",레드,프랑스,피노 누아 (Pinot Noir) ,1,3,4,3
"부샤르 뻬레 에 피스, 뿌이 퓌세","82,000원",화이트,프랑스,샤르도네 (Chardonnay) ,1,4,3,1
"브루노 지아코사, 바르베라 달바",가격정보없음,레드,이탈리아,바르베라 (Barbera) ,1,0,4,0
"브루노 지아코사, 돌체토 달바",가격정보없음,레드,이탈리아,돌체토 (Dolcetto) ,1,0,4,0
"브루노 지아코사, 바르바레스코 아실리","571,000원",레드,이탈리아,네비올로 (Nebbiolo) ,1,4,4,4
"브루노 지아코사, 바롤로",가격정보없음,레드,이탈리아,네비올로 (Nebbiolo) ,1,4,3,4
"브루노 지아코사, 로에로 아르네이스","83,000원",화이트,이탈리아,아르네이스 (Arneis) ,1,3,3,1
